No_row_of_csv_file,Axis,Description,Note
row364,x,Left_lateral-ventral_tube_rim_secondary_landmark_22,
row365,x,Left_lateral-ventral_tube_rim_secondary_landmark_23,
row366,x,Left_lateral-ventral_tube_rim_secondary_landmark_24,
row367,x,Left_lateral-ventral_tube_rim_secondary_landmark_25,
row368,x,Left_lateral-ventral_tube_rim_proximal_end_primary_landmark,
row369,x,Right_lateral-ventral_tube_rim_secondary_landmark_01,
row370,x,Right_lateral-ventral_tube_rim_secondary_landmark_02,
row371,x,Right_lateral-ventral_tube_rim_secondary_landmark_03,
row372,x,Right_lateral-ventral_tube_rim_secondary_landmark_04,
row373,x,Right_lateral-ventral_tube_rim_secondary_landmark_05,
row374,x,Right_lateral-ventral_tube_rim_secondary_landmark_06,
row375,x,Right_lateral-ventral_tube_rim_secondary_landmark_07,
row376,x,Right_lateral-ventral_tube_rim_secondary_landmark_08,
row377,x,Right_lateral-ventral_tube_rim_secondary_landmark_09,
row378,x,Right_lateral-ventral_tube_rim_secondary_landmark_10,
row379,x,Right_lateral-ventral_tube_rim_secondary_landmark_11,
row380,x,Right_lateral-ventral_tube_rim_secondary_landmark_12,
row381,x,Right_lateral-ventral_tube_rim_secondary_landmark_13,
row382,x,Right_lateral-ventral_tube_rim_secondary_landmark_14,
row383,x,Right_lateral-ventral_tube_rim_secondary_landmark_15,
row384,x,Right_lateral-ventral_tube_rim_secondary_landmark_16,
row385,x,Right_lateral-ventral_tube_rim_secondary_landmark_17,
row386,x,Right_lateral-ventral_tube_rim_secondary_landmark_18,
row387,x,Right_lateral-ventral_tube_rim_secondary_landmark_19,
row388,x,Right_lateral-ventral_tube_rim_secondary_landmark_20,
row389,x,Right_lateral-ventral_tube_rim_secondary_landmark_21,
row390,x,Right_lateral-ventral_tube_rim_secondary_landmark_22,
row391,x,Right_lateral-ventral_tube_rim_secondary_landmark_23,
row392,x,Right_lateral-ventral_tube_rim_secondary_landmark_24,
row393,x,Right_lateral-ventral_tube_rim_secondary_landmark_25,
row394,x,Right_lateral-ventral_tube_rim_proximal_end_primary_landmark,
row395,x,Right_dorsal-lateral_tube_rim_secondary_landmark_01,
row396,x,Right_dorsal-lateral_tube_rim_secondary_landmark_02,
row397,x,Right_dorsal-lateral_tube_rim_secondary_landmark_03,
row398,x,Right_dorsal-lateral_tube_rim_secondary_landmark_04,
row399,x,Right_dorsal-lateral_tube_rim_secondary_landmark_05,
row400,x,Right_dorsal-lateral_tube_rim_secondary_landmark_06,
row401,x,Right_dorsal-lateral_tube_rim_secondary_landmark_07,
row402,x,Right_dorsal-lateral_tube_rim_secondary_landmark_08,
row403,x,Right_dorsal-lateral_tube_rim_secondary_landmark_09,
row404,x,Right_dorsal-lateral_tube_rim_secondary_landmark_10,
row405,x,Right_dorsal-lateral_tube_rim_secondary_landmark_11,
row406,x,Right_dorsal-lateral_tube_rim_secondary_landmark_12,
row407,x,Right_dorsal-lateral_tube_rim_secondary_landmark_13,
row408,x,Right_dorsal-lateral_tube_rim_secondary_landmark_14,
row409,x,Right_dorsal-lateral_tube_rim_secondary_landmark_15,
row410,x,Right_dorsal-lateral_tube_rim_secondary_landmark_16,
row411,x,Right_dorsal-lateral_tube_rim_secondary_landmark_17,
row412,x,Right_dorsal-lateral_tube_rim_secondary_landmark_18,
row413,x,Right_dorsal-lateral_tube_rim_secondary_landmark_19,
row414,x,Right_dorsal-lateral_tube_rim_secondary_landmark_20,
row415,x,Right_dorsal-lateral_tube_rim_secondary_landmark_21,
row416,x,Right_dorsal-lateral_tube_rim_secondary_landmark_22,
row417,x,Right_dorsal-lateral_tube_rim_secondary_landmark_23,
row418,x,Right_dorsal-lateral_tube_rim_secondary_landmark_24,
